Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority
AB1 0DQ,No,57.103208,-2.239743,385575,801385,NJ855013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,57,,S01006514,
AB1 0DR,No,57.104582,-2.235642,385824,801537,NJ858015,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",,59,,S01006513,
AB1 0DS,No,57.105427,-2.234954,385866,801631,NJ858016,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",,65,,S01006513,
AB1 0DT,No,57.10552,-2.233683,385943,801641,NJ859016,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",,65,,S01006513,
AB1 0DU,No,57.106631,-2.234747,385879,801765,NJ858017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,75,,S01006514,
AB1 0DX,No,57.106394,-2.231955,386048,801738,NJ860017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",,69,,S01006516,
AB1 0DY,No,57.101381,-2.241531,385466,801182,NJ854011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1994-02-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,43,,S01006514,
AB1 0EA,No,57.106107,-2.231689,386064,801706,NJ860017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",,66,,S01006516,
AB1 0EB,No,57.107174,-2.233,385985,801825,NJ859018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",,75,,S01006513,
AB1 0ED,No,57.106887,-2.232619,386008,801793,NJ860017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",,74,,S01006513,
AB1 0EE,No,57.107664,-2.230246,386152,801879,NJ861018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",,72,,S01006513,
AB1 0EF,No,57.109093,-2.239203,385610,802040,NJ856020,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,87,,S01006514,
